HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Fortuna Dusseldorf,Hertha,4,1,3.6,3.4,2.1
Freiburg,Mainz,1,3,2,3.4,3.75
Hoffenheim,Augsburg,2,1,1.61,4.33,5
Nurnberg,Stuttgart,0,2,2.4,3.25,3.1
Werder Bremen,M'gladbach,1,3,2.4,3.5,2.75
Ein Frankfurt,Schalke 04,3,0,2.2,3.3,3.4
RB Leipzig,Leverkusen,3,0,1.8,4,4
Leverkusen,Stuttgart,2,0,1.5,4.5,6
Augsburg,Ein Frankfurt,1,3,2.62,3.5,2.62
Bayern Munich,Fortuna Dusseldorf,3,3,1.08,11,26
Hertha,Hoffenheim,3,3,3.4,3.75,2.04
Mainz,Dortmund,1,2,5.5,4,1.6
Schalke 04,Nurnberg,5,2,1.53,4,7
Wolfsburg,RB Leipzig,1,0,3.5,3.5,2.1
Freiburg,Werder Bremen,1,1,2.87,3.3,2.5
M'gladbach,Hannover,4,1,1.44,4.5,7
Fortuna Dusseldorf,Mainz,0,1,2.7,3.3,2.6
Dortmund,Freiburg,2,0,1.28,5.5,11
Hannover,Hertha,0,2,2.7,3.4,2.6
Hoffenheim,Schalke 04,1,1,1.8,3.8,4.33
Stuttgart,Augsburg,1,0,2.6,3.3,2.75
Werder Bremen,Bayern Munich,1,2,7,5.25,1.4
Ein Frankfurt,Wolfsburg,1,2,1.8,4,4.1
RB Leipzig,M'gladbach,2,0,1.9,3.75,3.75
Nurnberg,Leverkusen,1,1,4.2,4,1.8
Werder Bremen,Fortuna Dusseldorf,3,1,1.72,4,4.5
Bayern Munich,Nurnberg,3,0,1.08,11,34
Freiburg,RB Leipzig,3,0,4,4,1.83
Hertha,Ein Frankfurt,1,0,2.45,3.3,2.9
Leverkusen,Augsburg,1,0,1.66,4,5
Schalke 04,Dortmund,1,2,3.3,3.4,2.2
Wolfsburg,Hoffenheim,2,2,3,3.6,2.3
Mainz,Hannover,1,1,1.9,3.6,4
M'gladbach,Stuttgart,3,0,1.44,4.33,7
Nurnberg,Wolfsburg,0,2,3.6,3.5,2.04
Augsburg,Schalke 04,1,1,2.5,3.25,2.9
Dortmund,Werder Bremen,2,1,1.36,5.25,8
Fortuna Dusseldorf,Freiburg,2,0,2.75,3.3,2.6
Hannover,Bayern Munich,0,4,11,7,1.22
Hoffenheim,M'gladbach,0,0,1.9,4,3.6
Stuttgart,Hertha,2,1,2.7,3.4,2.62
Ein Frankfurt,Leverkusen,2,1,2.4,3.5,2.87
RB Leipzig,Mainz,4,1,1.4,4.75,7.5
Fortuna Dusseldorf,Dortmund,2,1,7,4.5,1.44
Hertha,Augsburg,2,2,2.3,3.4,3.1
M'gladbach,Nurnberg,2,0,1.36,5.5,7
